Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5NVKrGAZjusEqZJ7onT9gO,"Quando, Quando, Quando - 2004 Remaster","Made In Italy","Tony Renis",2004-01-01,168093,56,false,11164375455,2026-03-23T19:18:36Z,"","EMI Marketing",0.401,0.37,11,-10.701,0,0.0318,0.664,0,0.323,0.749,99.096,4
spotify:track:3NYm3ZimuJNb0Z0px5OEwO,"Marechià","Bar Mediterraneo","Nu Genea;Célia Kameni",2022-05-13,264296,59,false,11164375455,2026-03-23T19:18:36Z,"italo disco","NG Records licensed to Carosello Records",0.719,0.832,1,-7.412,0,0.0366,0.124,0.0726,0.0697,0.961,110.077,4
spotify:track:1SIXMGcsAeA6sNxaY1EG3O,"Tienaté","Bar Mediterraneo","Nu Genea",2022-05-13,278029,57,false,11164375455,2026-03-23T19:18:36Z,"italo disco","NG Records licensed to Carosello Records",0.699,0.806,0,-7.428,1,0.0507,0.096,0.00839,0.349,0.953,118.806,4
spotify:track:4gzxTkwXinx4ErQg3Ocbkd,"Perché Perché - Digital Remaster 2004","Made In Italy","Tony Renis",2004-01-01,163720,42,false,11164375455,2026-03-23T19:18:36Z,"","EMI Marketing",0.586,0.264,3,-14.01,1,0.0605,0.737,0.000171,0.139,0.669,89.014,5
spotify:track:3xBWfh0s2XgT65AGgMPsj6,"You're so Fine","You're so Fine","Papa Bear & His Cubs",2019-06-28,173133,49,false,11164375455,2026-03-23T19:18:36Z,"","Athens Of The North",0.519,0.369,2,-13.43,1,0.0357,0.837,0.162,0.127,0.677,68.875,4
spotify:track:6hob5XGGteZCcJZQoK06Fr,"Questo amore è un motore","Italian Classics: Pino D'Angiò Collection, Vol. 2","Pino D'Angiò",2011-03-15,222271,59,false,11164375455,2026-03-23T19:18:36Z,"italo disco","Peer Southern Productions",0.742,0.795,10,-6.881,1,0.0457,0.244,0.116,0.289,0.941,106.063,4
spotify:track:7vJs8fgxF2ONlzaIApPadv,"Barbara","Barbara e altri Carella","Enzo Carella",1979,246293,46,false,11164375455,2026-03-23T19:18:36Z,"italo disco,italiaanse singer-songwriter","RCA Records Label",0.755,0.762,10,-9.103,1,0.0548,0.0925,0.00251,0.033,0.874,116.392,4
spotify:track:6QJCRh7zkxzpNZ5tzK2Rfm,"Conversazione","Sabato sera Studio Uno 1967","Mina",2009,140714,50,false,11164375455,2026-03-23T19:18:36Z,"italiaanse singer-songwriter","Peer Southern Productions",0.445,0.482,1,-7.026,1,0.0578,0.863,0,0.109,0.668,157.695,4
spotify:track:25JrVa0pOZhb4WvuCK1JVk,"Lotus 72 D","Lotus 72 D","Zé Roberto",1973,192965,54,false,11164375455,2026-03-23T19:18:36Z,"bossanova,braziliaanse jazz","Mr Bongo",0.733,0.676,9,-9.735,0,0.0771,0.628,0.181,0.277,0.96,91.389,4
spotify:track:2aQ8NyRJcsQFgb8jwUil90,"Que Bandeira","Cartão Postal","Evinha",1971-01-05,149420,54,false,11164375455,2026-03-23T19:18:36Z,"mpb,bossanova,braziliaanse jazz","Universal Music Ltda.",0.755,0.537,1,-10.679,1,0.0381,0.756,0.00000322,0.355,0.811,93.393,4
spotify:track:29eLonNk3JNVWqu58cr7rq,"Mahè","La ragazza dalla pelle di luna","Piero Umiliani",1970-01-01,162299,59,false,11164375455,2026-03-23T19:18:36Z,"exotica","Easy Tempo / Right Tempo",0.43,0.376,7,-13.052,0,0.0358,0.826,0.614,0.103,0.714,83.357,4
