Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5uVm2ePifIQqp4kGL2w4nO,"Sunspear","Aletheia","O'Flynn",2019-09-06,275340,32,false,11164375455,2026-03-23T19:12:38Z,"discohouse","Silver Bear Recordings",0.688,0.802,0,-9.69,1,0.0802,0.0149,0.533,0.239,0.578,115.087,4
spotify:track:0GOaWCvd3Yw6Ge5wZEwIQq,"Beam Me Up - Jacques Renault Remix","Midnight Creepers Remixes","Midnight Magic;Jacques Renault",2014-08-08,364106,0,false,11164375455,2026-03-23T19:12:38Z,"nu disco,discohouse,disco,funky house","Permanent Vacation",0.71,0.711,5,-6.821,0,0.0417,0.184,0.106,0.0543,0.892,117.001,4
spotify:track:47jPtQs9LRiVLZG4t9GqTn,"Thai Take Away","¿Tienes Fuego?","Törsh",2018-10-19,382968,27,false,11164375455,2026-03-23T19:12:38Z,"lo-fi house,discohouse","Zissou Records",0.828,0.702,6,-9.718,0,0.0823,0.00815,0.872,0.085,0.805,128.014,4
spotify:track:51qw9DAEYn0RS23LtwZU84,"El Layali","Amor Fati","Barry Can't Swim",2021-07-09,189760,1,false,11164375455,2026-03-23T19:12:38Z,"jazz house","Shall Not Fade",0.743,0.554,1,-12.539,1,0.0482,0.0539,0.83,0.0919,0.617,122.004,4
spotify:track:56YaL3uGSFaK1uxiEiMtTg,"Rah That's A Mad Question","Amor Fati","Barry Can't Swim",2021-07-09,227123,0,false,11164375455,2026-03-23T19:12:38Z,"jazz house","Shall Not Fade",0.719,0.529,9,-12.952,0,0.0427,0.101,0.89,0.349,0.777,120.994,4
spotify:track:1sP05DPJ37h2wC9cuZ0at7,"Valley of Peace","TEYMORI","TEYMORI",2018-07-25,290937,0,false,11164375455,2026-03-23T19:12:38Z,"","Spinnup",0.688,0.753,4,-6.58,0,0.0836,0.226,0.0236,0.0839,0.434,117.997,4
spotify:track:5TJWMwOEXLxPsQsdO17QX9,"Only You - Frankie Francis Disco Jam Edit","Steve Monite / Tabu Ley Rochereau Edits","Steve Monite;Frankie Francis",2017-08-25,470863,0,false,11164375455,2026-03-23T19:12:38Z,"","Soundway Records",0.821,0.816,9,-6.623,0,0.0929,0.0428,0.0764,0.11,0.675,118.341,4
spotify:track:1b1CCARlbHEgnNiQ9XACWm,"Come a Little Closer","#2","TEE MANGO",2018-06-08,359091,37,false,11164375455,2026-03-23T19:12:38Z,"jazz house,nu disco,discohouse","Aus Music",0.67,0.774,1,-7.9,1,0.0353,0.145,0.352,0.107,0.731,117.98,4
spotify:track:2TMRKEYU6wQswd3b4mYDLV,"Release the Pressure","Come Fly with Me","Ken@Work",2021-08-20,272748,1,false,11164375455,2026-03-23T19:12:38Z,"nu disco,discohouse,funky house","Spa In Disco",0.845,0.731,9,-6.308,0,0.0413,0.000105,0.767,0.0577,0.928,113.987,4
spotify:track:2QAFjF7KyECHyNTYTN1KJb,"Why Should I Care","Why Should I Care & Loser","Kolter",2021-09-03,340121,18,false,11164375455,2026-03-23T19:12:38Z,"house,techhouse,lo-fi house","DJOKOCAMP",0.804,0.747,10,-8.354,0,0.0771,0.0216,0.834,0.0852,0.661,121.033,4
spotify:track:0fBzgsaU1cDoS5dFI34dSB,"Love Recycled 1","Love Recycled EP","Solomun",2011-04-04,449039,0,false,11164375455,2026-03-23T19:12:38Z,"melodieuze techno,minimal techno,techno,melodieuze house","2DIY4",0.811,0.715,0,-9.578,1,0.0593,0.0195,0.787,0.0966,0.618,120.009,4
