Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0C8sku9YbUIh9Y5vNE0SWS,"Niks Missen","El Salvador","Sef",2020-03-26,172591,27,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.77,0.544,0,-9.542,1,0.246,0.23,0.00000196,0.0745,0.373,96.209,4
spotify:track:3hVsHgT0uUH5VVQMRWPQwX,"Mattenklopper","El Salvador","Sef",2020-03-26,189486,17,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.771,0.534,1,-5.537,1,0.311,0.0642,0,0.309,0.502,82.993,4
spotify:track:0xyQHWQ18nScHtnoA9S8Dx,"Jus Interlude","El Salvador","Sef",2020-03-26,25427,0,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.881,0.304,9,-10.518,0,0.0748,0.965,0.774,0.0573,0.726,99.988,5
spotify:track:2VSRZJsRHrFfDLk0l3wLM4,"Jus","El Salvador","Sef",2020-03-26,153041,15,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.894,0.508,9,-6.245,0,0.236,0.27,0,0.104,0.926,150.381,4
spotify:track:4qDQekOPKzgDm4u7Q1ZIgc,"Oceaan","El Salvador","Sef;Gerson Main",2020-03-26,223476,25,false,11164375455,2026-03-23T19:09:54Z,"nederpop,hollands","Top Notch Music BV",0.638,0.5,2,-10.222,0,0.457,0.383,0.00453,0.681,0.458,78.112,4
spotify:track:7AJUaTrq5aLKtDw5fQFzlK,"Hart Van Een Kind","El Salvador","Sef",2020-03-26,182476,13,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.613,0.546,2,-9.359,1,0.0544,0.293,0.00674,0.611,0.447,137.126,4
spotify:track:2rhYoDAZDTmy8xuPFJbNjZ,"Weet Ik Veel","El Salvador","Sef",2020-03-26,135367,18,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.758,0.469,7,-10.069,1,0.423,0.184,0.000829,0.092,0.655,78.191,4
spotify:track:6MxYM3Is4wXRvRqxH4yejj,"Witte Sokken","El Salvador","Sef",2020-03-26,206136,29,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.829,0.601,0,-8.478,1,0.261,0.282,0.00817,0.141,0.778,149.999,4
spotify:track:5D9BDRM67leKuVmOfRyOqA,"Alles Cannes","El Salvador","Sef",2020-03-26,210966,25,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.817,0.526,8,-8.312,1,0.0509,0.251,0.0104,0.102,0.546,94.992,4
spotify:track:3PMzPYfRkiy6siDOcDfhhE,"Mekka","El Salvador","Sef",2020-03-26,100375,18,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.574,0.413,7,-7.926,0,0.364,0.021,0.00039,0.38,0.477,174.089,3
spotify:track:5xw87uLBWEYnAl8wlTrtcx,"Gradaties Van Rood Interlude","El Salvador","Sef",2020-03-26,62624,13,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.665,0.222,7,-15.202,1,0.33,0.838,0.0000039,0.11,0.651,176.036,4
spotify:track:7izMz7O0hppuB7vu0Ga9Lc,"Wat Nog Meer?","El Salvador","Sef",2020-03-26,129468,11,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.756,0.294,11,-11.844,0,0.269,0.18,0.0877,0.374,0.262,88.058,4
spotify:track:3wHmyFnr8nNldYBTjRib6W,"We Moeten Leven","El Salvador","Sef",2020-03-26,155531,11,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.75,0.295,9,-10.432,0,0.0995,0.156,0.00493,0.0929,0.216,129.794,4
spotify:track:7ir0XPprwgu5PZfHdSTsTF,"Heilige Papieren","El Salvador","Sef",2020-03-26,145624,12,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.596,0.263,3,-10.309,1,0.343,0.82,0.134,0.222,0.4,78.025,3
spotify:track:0NeXo1Wcq53ft9uN7XDPnh,"Secondelijm","El Salvador","Sef",2020-03-26,171500,30,false,11164375455,2026-03-23T19:09:54Z,"nederpop","Top Notch Music BV",0.769,0.314,8,-11.243,0,0.12,0.764,0.02,0.13,0.432,90.029,4
spotify:track:6qauMuM8w5V6jahcEdgmyj,"El Salvador","El Salvador","Sef;Willem",2020-03-26,130374,28,false,11164375455,2026-03-23T19:09:54Z,"nederpop,neue deutsche welle","Top Notch Music BV",0.666,0.588,8,-7.937,0,0.376,0.832,0.000035,0.112,0.41,82.125,4
spotify:track:1QigvuyZZ2EvU7rR66772t,"Komt Goed","Komt Goed","Sef;Abel",2021-01-13,184455,35,true,11164375455,2026-03-23T19:10:05Z,"nederpop","Top Notch Music BV",0.685,0.692,10,-6.888,0,0.384,0.342,0,0.655,0.725,85.746,4
spotify:track:1DN9nS7cKv2qYrFjgsO9WT,"Kind Van Buiten","Kind Van Buiten","Jiri11",2023-03-30,165990,9,true,11164375455,2026-03-23T19:10:19Z,"maluku","ADF ENT",0.569,0.555,8,-7.858,1,0.342,0.565,0,0.167,0.631,182.004,3
spotify:track:6t3R0CBOyK2amnvSLVDghO,"Zelfkennis","Ik Zie Je","Nnelg",2023-03-23,149547,23,false,11164375455,2026-03-23T19:10:19Z,"","Noah's Ark BV",0.615,0.558,1,-8.165,1,0.403,0.189,0.0000154,0.117,0.55,171.039,4
spotify:track:1cLAHyaVpsP5L11zRLdH9y,"Kanye op een donderdag","De Rechtszaak","Yung Internet",2023-02-11,141194,15,true,11164375455,2026-03-23T19:10:19Z,"","Binnenstad Records",0.779,0.564,5,-8.525,0,0.251,0.377,0.000318,0.0956,0.397,139.882,4
spotify:track:16oyYkiBGXro1fm2bJUVZ3,"De Machine","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef;Abel",2023-02-02,149341,39,true,11164375455,2026-03-23T19:10:19Z,"nederpop","Top Notch Music BV",0.708,0.689,9,-9.318,1,0.407,0.74,0.0000227,0.11,0.735,90.59,4
spotify:track:125nmYAaZVIwLXVyLf6PDc,"Anorak","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef;Willem",2023-02-02,125056,41,false,11164375455,2026-03-23T19:10:19Z,"nederpop,neue deutsche welle","Top Notch Music BV",0.744,0.694,1,-8.482,0,0.202,0.168,0.000121,0.124,0.839,110.046,4
spotify:track:072XjMU0RR8HTAW9pTQytO,"Underdog Superster Asterisk","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef",2023-02-02,140102,29,true,11164375455,2026-03-23T19:10:19Z,"nederpop","Top Notch Music BV",0.53,0.858,2,-8.239,0,0.342,0.162,0.0165,0.819,0.488,199.995,4
spotify:track:2d1x40uqQXcTQPXeUdlRUq,"Land Dat Niet Bestaat","Ik Zou Voor Veel Kunnen Sterven Maar Niet Voor Een Vlag","Sef",2023-02-02,145646,36,false,11164375455,2026-03-23T19:10:19Z,"nederpop","Top Notch Music BV",0.828,0.727,10,-7.891,0,0.376,0.373,0.0000108,0.0708,0.803,107.995,4
spotify:track:06J5ywW2GMBRfFWng6Lxyu,"Code Of Honour","9","Joe James",2023-01-20,213333,15,true,11164375455,2026-03-23T19:10:19Z,"grime","ooo",0.605,0.364,4,-13.713,0,0.378,0.496,0.0859,0.128,0.455,119.225,5
