Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:597QyIjFzPHQt4ZxpSxRW5,"Don't Stop","Midnight Request Line","Qendresa",2020-11-20,77211,53,true,11164375455,2026-03-23T19:19:25Z,"alternative r&b","dream city discs",0.728,0.685,11,-8.226,0,0.341,0.411,0,0.457,0.926,75.115,4
spotify:track:0s7Z1RtnsmiYOfSIbB3btD,"Valentina","Valentina","Daniel Caesar",2023-03-31,154531,54,false,11164375455,2026-03-23T19:19:25Z,"","Republic Records",0.754,0.311,0,-5.385,0,0.0388,0.622,0.336,0.116,0.37,92.01,4
spotify:track:7IwPrc0AZV9uMSPitvJMxx,"Shameful Game","The Celestial Suite","Pale Jay",2021-10-22,185000,64,false,11164375455,2026-03-23T19:19:25Z,"retrosoul","PLYGRND",0.656,0.567,0,-7.23,0,0.0285,0.194,0.844,0.148,0.653,143.867,4
spotify:track:5ZsuhbdQSRS4wqggUrCz9e,"Girl Like You","Boo Boo","Toro y Moi",2017-07-07,223773,0,false,11164375455,2026-03-23T19:19:25Z,"chillwave","Carpark",0.629,0.823,1,-5.744,1,0.0597,0.35,0.039,0.0801,0.397,169.961,4
spotify:track:2Yk44lQXJDw9jySBTOB0Ag,"Take It Slow (feat. Loyle Carner)","Take It Slow (feat. Loyle Carner)","ENNY;Loyle Carner",2023-04-12,221250,57,true,11164375455,2026-03-23T19:19:25Z,"britse r&b,alternative r&b,jazz rap,indiesoul","FAMM",0.508,0.6,4,-8.554,0,0.411,0.484,0.00134,0.0756,0.589,88.704,4
spotify:track:3CMfea1T5q5gwAeGY56ZxH,"Honey","Lola","Tim Wes",2018-06-29,176400,28,false,11164375455,2026-03-23T19:19:25Z,"","Pink Salmon Records",0.81,0.456,11,-12.849,1,0.0455,0.749,0.0514,0.115,0.376,100.038,4
spotify:track:2ZpC4XRsRSVpRUO3bZAwgq,"Tes petites fesses","Tes petites fesses","LYNN",2020-07-01,110200,50,true,11164375455,2026-03-23T19:19:25Z,"franse r&b","Le Sofa",0.611,0.338,11,-12.756,0,0.321,0.592,0.000159,0.109,0.57,75.477,4
spotify:track:5g1IxCinEawQcerAMrs2tU,"e-motions (with Erika de Casier)","e-motions (with Erika de Casier)","Mura Masa;Erika de Casier",2022-09-09,168723,32,false,11164375455,2026-03-23T19:19:25Z,"alternative r&b","Polydor Records",0.796,0.556,10,-5.901,1,0.034,0.671,0.0272,0.115,0.472,128,4
spotify:track:64I9byMYBlS1ARsC3vtpgW,"Ottolenghi","Not Waving, But Drowning","Loyle Carner;Jordan Rakei",2019-04-19,197600,64,false,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul,neo soul","AMF",0.776,0.593,7,-10.535,1,0.252,0.327,0.00616,0.186,0.247,94.97,4
spotify:track:32sBVB5HmrwJ6e9g0S2BRL,"Damselfly","Yesterday's Gone","Loyle Carner;Tom Misch",2017-01-20,172653,61,true,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul","EMI",0.82,0.596,11,-7.539,1,0.246,0.517,0.00159,0.358,0.54,94.968,4
spotify:track:4pjcxC0qgXWZWmcBjzn1az,"Angel","Not Waving, But Drowning","Loyle Carner;Tom Misch",2019-04-19,283225,51,true,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul","AMF",0.801,0.601,11,-7.362,0,0.203,0.147,0.011,0.108,0.282,96.998,4
spotify:track:6ZizKmm2kQY7e77rXrlwWs,"Krispy","Not Waving, But Drowning","Loyle Carner",2019-04-19,221092,48,false,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul","AMF",0.775,0.298,7,-13.01,1,0.314,0.913,0.00626,0.108,0.139,89.975,4
spotify:track:3GAOWYNUBehaZD7FhBjgdW,"Perdida","Big Fan of the Sesh, Vol. 1","Biig Piig",2018-04-26,180949,0,false,11164375455,2026-03-23T19:19:25Z,"","Biig Piig",0.767,0.0814,2,-13.437,1,0.307,0.837,0.0023,0.174,0.348,76.572,4
spotify:track:4mkIH8ixbQ7cpOvhzEL7jc,"Dear Jean","Not Waving, But Drowning","Loyle Carner",2019-04-19,103340,50,false,11164375455,2026-03-23T19:19:25Z,"jazz rap,indiesoul","AMF",0.632,0.436,1,-9.823,0,0.346,0.84,0.00016,0.141,0.118,94.17,4
spotify:track:4ZE50Luqd1emzOeJ2DjzYn,"Yah / Element - Medley","Yah / Element (Medley)","Joy Crookes",2019-09-13,176374,46,true,11164375455,2026-03-23T19:19:25Z,"alternative r&b","Speakerbox Recordings",0.561,0.408,0,-8.287,1,0.0729,0.494,0.0000041,0.172,0.263,133.65,4
spotify:track:4GKzznETPVyGoBe6vHr2lS,"Charge It Remix (feat. Smino)","Charge It Remix (feat. Smino)","ENNY;Smino",2023-11-08,202204,49,true,11164375455,2026-03-23T19:19:25Z,"britse r&b,alternative r&b","FAMM",0.801,0.519,11,-6.992,1,0.0854,0.44,0.0661,0.12,0.702,126.962,4
