Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wCwkqxcsJVlq07Z2W3ZhK,"I Want You","I Want You E.P.","Tommy Vercetti;Abi",2019-12-16,200096,40,false,11164375455,2026-03-23T19:14:25Z,"techhouse","No Art",0.798,0.871,5,-9.227,0,0.0791,0.000192,0.824,0.0695,0.243,123.991,4
spotify:track:0gx9yBLADpBpzTv2PLudmF,"Find The Beats","I Want You E.P.","Tommy Vercetti;Aqulies Navaro",2019-12-16,200091,27,false,11164375455,2026-03-23T19:14:25Z,"techhouse","No Art",0.751,0.947,3,-7.508,1,0.0999,0.00321,0.561,0.33,0.697,124.976,4
spotify:track:38ijHE4P8xSnH89O6YmNLD,"WRKME - Original Mix","The Shakedown EP","Scott Diaz",2016-02-15,444943,2,false,11164375455,2026-03-23T19:14:25Z,"jazz house,britse garage,funky house","Simma Black",0.818,0.974,11,-7.77,1,0.0625,0.00308,0.462,0.0745,0.887,122.996,4
spotify:track:7cCJ9GKpUSfDXLsfYzu1gz,"I Won't Tell","I Won't Tell EP","High Soundsystem",2021-07-01,392769,2,false,11164375455,2026-03-23T19:14:25Z,"techhouse","TBX Records",0.783,0.9,6,-7.13,0,0.0784,0.0054,0.912,0.0807,0.746,129.988,4
spotify:track:3KFAJPKUrJBGQT6Lwhq5Vg,"You're Lovin' It","Steel Bird","Robbie Doherty",2022-05-06,340494,14,false,11164375455,2026-03-23T19:14:25Z,"techhouse,house","Knee Deep In Sound",0.8,0.812,6,-9.33,0,0.0687,0.000287,0.857,0.0507,0.862,128.984,4
spotify:track:6URRjOt1nzNf0FSaKdMy8H,"In Your Arms","Andhera Records Summer Sampler, Vol. 1","Artmann",2020-06-15,466413,31,false,11164375455,2026-03-23T19:14:25Z,"house,rally house,techhouse","Andhera Records",0.787,0.903,6,-7.869,1,0.0822,0.00442,0.894,0.0841,0.837,128.09,4
spotify:track:5erkBzi1uzfVzRotIEDevu,"My Paradise","My Paradise","Jamie Jones",2022-04-29,211029,1,false,11164375455,2026-03-23T19:14:25Z,"techhouse,house,deep house","Defected Records",0.749,0.74,10,-8.528,0,0.0313,0.0005,0.154,0.112,0.887,128.012,4
spotify:track:4xq3SqW9UCJqASYLjg8XiT,"Stomp","Dirty Housecutz, Vol. 5","Dompe",2022-02-18,384700,1,false,11164375455,2026-03-23T19:14:25Z,"techhouse,funky house","Jackfruit Recordings",0.867,0.985,9,-4.373,0,0.0731,0.000564,0.0392,0.0524,0.467,125.007,4
spotify:track:02K93YKyLxK8xCY2C4ePtI,"Back In The Dance","Back In The Dance","Darius Syrossian;George Smeddles",2022-03-04,206270,0,false,11164375455,2026-03-23T19:14:25Z,"","DFTD",0.722,0.865,8,-8.386,1,0.0356,0.0169,0.725,0.118,0.709,127.988,4
spotify:track:2INPX8tvxQfTJLvmboTI41,"Vibes","Vibes","Dimmish",2022-03-18,199402,0,false,11164375455,2026-03-23T19:14:25Z,"techhouse,minimal techno","Deeperfect Records",0.787,0.952,11,-7.518,0,0.0894,0.106,0.511,0.127,0.704,129.982,4
spotify:track:2vHfT9L1s0OGjIOBx9QmrD,"Holdin' On - Edit","Holdin' On","Vincent Caira",2022-03-03,218880,21,false,11164375455,2026-03-23T19:14:25Z,"funky house,discohouse","Spacedisco Records",0.843,0.641,11,-8.649,1,0.147,0.000768,0.808,0.0431,0.688,124.987,4
spotify:track:42ZGcXnIUCTQiTwzmTU4YC,"Don't Mind Ya Weight","Don't Mind Ya Weight EP","ANOTR",2020-02-24,213333,40,false,11164375455,2026-03-23T19:14:25Z,"house,techhouse","No Art",0.803,0.925,5,-9.351,0,0.0927,0.047,0.697,0.617,0.674,126.007,4
spotify:track:2VoPsEUPCda3q9Gjo75PjJ,"Chapters","Chapters","RUZE",2021-08-13,423757,0,false,11164375455,2026-03-23T19:14:25Z,"rally house,house,techhouse","PIV Records",0.777,0.953,10,-9.461,1,0.0565,0.0472,0.871,0.083,0.56,128.002,4
spotify:track:17UGWph5U2KVgtVUtJuBvU,"New Jack Swing","Swing E.P.","Andre Butano;Miguel Lobo",2011-05-20,481000,24,false,11164375455,2026-03-23T19:14:25Z,"techhouse","Brise Records",0.821,0.51,7,-12.681,1,0.0641,0.00985,0.8,0.143,0.373,125.01,4
spotify:track:0NUhccl4bo79EUsmFyAMHi,"El Cuervo","El Cuervo","Endor",2022-03-18,188967,0,false,11164375455,2026-03-23T19:14:25Z,"","Repopulate Mars",0.831,0.707,6,-8.263,0,0.0567,0.0309,0.815,0.948,0.848,126.015,4
spotify:track:6pHYptSHQ97Z1O99Cb3gZ4,"Funky Cheesy","Funky Cheesy","THEOS",2022-04-15,344409,5,false,11164375455,2026-03-23T19:14:25Z,"house,funky house","Chevry Records",0.84,0.868,10,-6.118,0,0.0929,0.0357,0.862,0.0436,0.718,127.006,4
spotify:track:0ZnOtmzCj2plyEhuSbuMNe,"GIRLS LIKE THIS - SUMMER EDIT","BUCKET HEAD / GIRLS LIKE THIS","GOLFOS",2019-05-16,326272,31,false,11164375455,2026-03-23T19:14:25Z,"techhouse,jazz house","GOLFO TRAXX",0.81,0.731,7,-9.109,1,0.0853,0.000358,0.919,0.0863,0.236,126.992,4
spotify:track:7uxhM2d63mQtNp3uuPGh3N,"I Don't Wanna - Original Mix","Planet Flour","Thijs Haal",2015-11-30,403200,4,false,11164375455,2026-03-23T19:14:25Z,"techhouse","Hustler Trax",0.805,0.928,3,-9.873,0,0.0684,0.0215,0.906,0.0687,0.462,125.024,4
spotify:track:4NvLT5hiwXmASnkLu66Enw,"FEVER PITCH","FEVER PITCH","TREASURE SERIES",2021-06-18,238284,46,false,11164375455,2026-03-23T19:14:25Z,"techhouse,house","TREASURE SERIES",0.853,0.39,11,-11.998,0,0.0662,0.0011,0.684,0.11,0.768,128.999,4
spotify:track:3Prwlkzd30vloagLOKwwWn,"She Likes To Dance - John Deluxe Remix","She Likes To Dance EP","Jizz;John Deluxe",2021-04-23,361846,4,false,11164375455,2026-03-23T19:14:25Z,"rally house,techhouse","OVRDOSE DEEP",0.796,0.946,10,-8.705,0,0.0748,0.0126,0.857,0.0803,0.846,129.999,4
spotify:track:5NoMcXheir9SEAOVzLvaXZ,"Take A Picture","Take A Picture EP","Rooléh",2022-04-28,326253,8,false,11164375455,2026-03-23T19:14:25Z,"techhouse","Airtime Records",0.803,0.989,5,-8.687,0,0.0577,0.0000822,0.84,0.0356,0.786,128.002,4
spotify:track:085egKocgu5WKCISuUBJFW,"Haiti - Robbie Doherty Remix","Haiti (Robbie Doherty Remix)","Welshy;Robbie Doherty",2020-11-20,177708,20,false,11164375455,2026-03-23T19:14:25Z,"techhouse,house","Insanity Records",0.769,0.898,11,-6.037,0,0.115,0.0264,0.186,0.193,0.618,129.026,4
spotify:track:5dcFFOszuosLSqg1sCBdFk,"Club Virus","Club Virus EP","Kreech",2022-02-25,196875,25,false,11164375455,2026-03-23T19:14:25Z,"rally house,house","elrow Limited",0.791,0.744,8,-7.231,0,0.0448,0.000619,0.631,0.0865,0.44,128.004,4
spotify:track:6Y1su8r4tHPOtF6D0VkQeW,"Fever","Fever","Dimmish",2021-06-04,390352,28,false,11164375455,2026-03-23T19:14:25Z,"techhouse,minimal techno","WYLD",0.791,0.954,8,-8.673,1,0.0937,0.000123,0.872,0.043,0.914,128.017,4
spotify:track:2ek2IF09bupcjxQdCFGWLl,"Do You Really (Remix)","Do You Really (Remix)","Oscar Jerome;Ben Hauke",2018-10-29,291013,5,false,11164375455,2026-03-23T19:14:25Z,"indiesoul,jazz house,indie jazz,nu jazz,lo-fi house","Au Contraire Music",0.804,0.886,6,-8.053,0,0.0767,0.00146,0.204,0.659,0.921,123.012,4
spotify:track:1Cq3QIdsUlTbRkmrMVqbHv,"She Likes To Dance","She Likes To Dance","Jizz",2020-08-31,336385,35,false,11164375455,2026-03-23T19:14:25Z,"rally house,techhouse","OVRDOSE DEEP",0.789,0.822,10,-8.191,0,0.0721,0.00806,0.736,0.115,0.831,127.009,4
spotify:track:2o7alCG0tcj5lYMHgjDBNn,"Gotta Go","Gotta Go EP","D Stone",2022-06-23,424251,14,false,11164375455,2026-03-23T19:14:25Z,"discohouse,funky house","Airtime Records",0.804,0.913,1,-8.154,0,0.0517,0.000354,0.827,0.0455,0.606,127.007,4
spotify:track:7M1125M74qeHedad25bx4U,"B.O.T.A. (Baddest Of Them All) - Edit","B.O.T.A. (Baddest Of Them All) / Move To The","Eliza Rose;Interplanetary Criminal",2022-06-15,226626,0,false,11164375455,2026-03-23T19:14:25Z,"house,britse garage,breakbeat","Rosebud Recordings",0.738,0.892,0,-7.784,1,0.0527,0.24,0.614,0.148,0.709,136.998,4
