TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.046439909,-721.651,28.4234,-14.1441,8.20479,-12.577,-5.4114,6.49846,-6.76583,3.10106,6.7578,-7.36832,3.64809,1.79746,-2.64326,1.06747,-2.16476,3.35214,-1.62749,-0.790304,3.40331,-4.17135
0.069659864,-410.748,44.6903,-4.37926,-34.4104,-24.2412,-8.78718,0.226083,10.6751,8.58272,6.12439,-8.36163,-5.57948,-8.01357,-2.04911,3.43911,6.04096,4.19326,2.34872,-5.089,-0.816331,-5.55556
0.092879819,-289.399,31.394,-0.505581,-6.09479,-11.4848,-2.16111,2.05891,9.62169,5.13203,3.97882,-3.48349,-4.35059,-5.47819,-0.179627,0.530917,5.67107,1.42933,1.5887,-4.08162,-1.60258,-3.26683
0.116099773,-348.406,35.5415,7.63645,8.16552,9.54181,6.26591,2.71734,3.92746,0.801084,4.67848,-1.38849,-0.980925,-2.84545,-1.48159,-0.882115,3.71554,0.0888183,-0.88522,-5.19293,-0.964332,-3.63949
0.139319728,-351.99,38.8156,5.47803,9.74865,11.2992,4.69757,4.11841,3.42963,-0.381132,5.59012,-1.69503,0.0714593,-4.87745,-0.283964,0.0383761,2.84472,-1.54389,-0.631181,-5.15449,-2.07231,-2.11644
0.162539683,-353.678,41.4298,6.53789,10.9882,8.18728,4.06061,4.58489,4.41405,-0.433702,6.60137,-3.28703,0.545803,-4.213,0.319746,-1.15964,3.45011,-1.09266,-0.772028,-7.72422,-1.87184,-2.04814
0.185759637,-349.521,39.7842,6.46325,9.49762,10.5175,6.39887,2.12261,3.75555,0.755477,3.44644,-4.23118,2.3866,-3.06328,-1.06272,-2.16329,4.48722,-1.93718,-0.342117,-5.8922,-0.65079,-2.18573
0.208979592,-353.018,40.5478,8.94942,10.7757,7.3248,4.536,4.04014,3.43266,0.187571,4.5462,-4.39445,0.989908,-1.65973,-0.188733,-1.96988,2.36228,-1.4898,1.39273,-6.17974,-2.41299,-2.25587
0.232199546,-351.246,40.8558,5.72187,10.1806,9.55335,4.343,3.10313,3.71145,0.347557,5.53007,-3.2832,1.26931,-2.55714,-0.313778,-0.967273,2.82484,-1.55455,0.254942,-4.99946,-0.91351,-3.34009
0.255419501,-353.498,38.5391,6.2512,10.3041,10.5644,4.74258,4.03594,3.84565,-0.392955,3.22093,-3.50535,-0.659328,-3.58551,0.435671,-0.341147,2.81477,0.124318,0.521915,-6.08577,0.649921,-1.00305
0.278639456,-356.904,38.2647,6.38826,10.5737,9.62379,5.53506,4.01138,3.74877,-0.352528,4.73181,-4.11638,-0.47231,-2.45452,-0.501074,-0.933823,3.9586,0.344038,0.37411,-4.08922,0.336192,0.388586
0.301859410,-356.276,38.221,5.18003,11.3097,9.17016,6.80978,3.10837,5.84721,0.792027,3.96423,-3.97538,1.45205,-3.7046,-1.92578,1.03887,4.75167,-0.820067,0.222016,-6.21132,0.704491,1.29796
0.325079365,-356.786,39.3776,6.68402,10.5646,9.35199,6.01139,5.38461,3.42306,1.1286,6.38029,-2.18196,-0.742205,-4.11404,-0.487718,1.7144,5.2636,-2.76356,-2.33929,-5.82414,-0.370895,0.54688
0.348299320,-354.486,38.552,4.96633,13.0208,11.0202,7.83373,4.05855,3.06096,1.29407,5.97871,-2.93026,-1.11121,-4.55857,-1.07374,1.27346,6.10066,-0.594876,-2.30382,-8.28896,-1.94704,-0.113087
0.371519274,-350.788,40.6152,5.17461,11.3939,10.951,7.11949,3.57714,4.87751,-0.740623,5.69798,-1.66663,0.818194,-5.2645,-2.48798,-0.328028,5.74025,-1.22724,-1.25393,-7.71332,-1.77769,0.301387
0.394739229,-350.28,40.7183,6.03457,11.3987,11.7189,4.57116,2.86322,4.10761,2.63806,7.41063,-3.11806,-1.83797,-5.78861,-1.35561,-0.12588,5.91808,0.0811494,-2.89843,-8.70522,-0.306954,0.649953
0.417959184,-351.761,40.5399,7.2053,10.3439,11.6642,7.21598,4.53754,1.40335,0.865695,6.68014,-1.67237,-2.57064,-6.35649,-2.0606,1.70199,7.1461,-0.862746,-3.78528,-7.58017,-0.698693,-0.37968
0.441179138,-347.592,39.9586,5.73749,10.6006,13.1992,4.81915,0.530712,4.56891,-0.282788,6.71203,-2.99987,-1.39656,-4.94476,0.342714,0.586013,4.64179,-0.704853,-2.39965,-7.88722,0.483553,0.519669
0.464399093,-351.746,40.0471,5.50748,11.3822,11.5712,5.12574,2.89845,2.16753,-0.440343,7.04288,-3.09849,-2.55929,-3.88322,1.02387,-0.0789382,4.77327,-0.276574,-2.82537,-6.2129,-1.47365,-0.170492
