TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.485242,0.02431,1.22372,0.266772,0.0152783,0.936942,0.125976,0.594392,0.140783,0.0597946,0.32657,0.944104
0.046439909,0.688888,0.00412751,1.28466,0.245371,0.0212678,0.721125,0.137321,0.536351,0.109522,0.00202053,0.110581,0.775887
0.092879819,0.803021,0,1.2796,0.231341,0.067281,0.507325,0.102752,0.467355,0.0938214,0.202601,0.070725,0.517085
0.139319728,0.637548,0.0517409,1.37157,0.16238,0.106017,0.336221,0.0564876,0.390383,0.0872409,0.564985,0.00263011,0.423108
0.185759637,0.472657,0.108671,1.52915,0.0959996,0.118404,0.138892,0.0406353,0.281012,0.0410283,0.713566,0,0.401173
0.232199546,0.326076,0.139542,1.59775,0.0558059,0.148698,0.072019,0.0921682,0.256014,0.0288549,1.01023,0.0173981,0.418663
0.278639456,0.279382,0.535037,1.29273,0.20474,0.142827,0.206977,0.200444,0.278316,0.279415,1.33996,0.0200267,0.576272
0.325079365,0.305047,0.494177,1.11129,0.183223,0.207536,0.242181,0.181763,0.335614,0.451058,1.16517,0.032874,0.635816
0.371519274,0.313544,0.532504,1.02152,0.190784,0.294444,0.323533,0.178325,0.36854,0.49809,0.947004,0.046823,0.666615
0.417959184,0.284502,0.515579,0.925888,0.221083,0.276484,0.457377,0.142168,0.374036,0.573987,0.785448,0.0231782,0.698994
0.464399093,0.304585,0.534412,0.990369,0.243709,0.25047,0.51776,0.0851436,0.383674,0.823139,0.621696,0.0292504,0.683892
0.510839002,0.317834,0.645533,1.09703,0.224866,0.21452,0.500918,0.060816,0.395401,0.944072,0.562729,0.054401,0.583548
0.557278912,0.336829,0.68976,1.15491,0.203699,0.174905,0.422348,0.0896448,0.34998,0.831098,0.597316,0.0451378,0.456647
0.603718821,0.420164,0.661948,1.11295,0.167156,0.149042,0.368611,0.107853,0.256633,0.676658,0.587767,0.0198594,0.485981
0.650158730,0.500483,0.613497,1.00818,0.164106,0.224406,0.38254,0.0841271,0.19767,0.734009,0.660815,0.0291776,0.507045
0.696598639,0.505758,0.542952,0.843198,0.304708,0.22193,0.37232,0.0324711,0.198414,0.74353,0.918995,3.96691e-05,0.445095
0.743038549,0.509707,0.443394,0.759699,0.393746,0.250334,0.407835,0.0322575,0.242898,0.645866,1.1554,6.3113e-05,0.48259
0.789478458,0.463474,0.387549,0.788189,0.409536,0.267701,0.33656,0.0350341,0.324995,0.669143,1.19733,0.00283124,0.493551
0.835918367,0.374876,0.338921,0.845426,0.394381,0.273054,0.194148,0.0628134,0.333409,0.739014,1.23745,0.00389662,0.493848
0.882358277,0.331904,0.187933,0.965659,0.355488,0.461146,0.182758,0.0545584,0.304861,0.759282,1.22728,0.0224649,0.584682
0.928798186,0.322066,0.041067,1.24324,0.312442,0.363934,0.389365,0.0381034,0.288289,0.691326,1.18029,0.0898354,0.556135
0.975238095,0.338228,0,1.53512,0.320705,0.158871,0.54793,0.0561499,0.252563,0.740085,0.977952,0.123417,0.434438
1.021678005,0.355578,0,1.47625,0.324823,0.144523,0.500686,0.0518955,0.227114,0.784787,1.04767,0.100967,0.50822
1.068117914,0.371681,0,1.37884,0.292738,0.167114,0.352691,0.0668455,0.252458,0.808928,1.18157,0.184075,0.553367
1.114557823,0.37429,0.0085446,1.22918,0.367834,0.155791,0.321419,0.0689072,0.299595,0.834235,1.19887,0.195351,0.504408
1.160997732,0.531666,0,1.02112,0.412497,0.15018,0.389038,0.0504021,0.353284,0.861451,1.00492,0.169758,0.430132
1.207437642,0.598599,0.19127,0.708503,0.399733,0.190429,0.307229,0.0585286,0.421572,0.823768,0.917388,0.102831,0.466709
1.253877551,0.607605,0.44955,0.602652,0.328095,0.282806,0.357298,0.0469158,0.449082,0.755888,0.858438,0.0905049,0.51656
1.300317460,0.626298,0.393291,0.592644,0.262133,0.287644,0.470349,0.0638675,0.391026,0.63021,1.09797,0.0986551,0.514103
1.346757370,0.631266,0.357114,0.657296,0.19212,0.225689,0.44842,0.115253,0.368181,0.547544,1.36287,0.0881236,0.546993
1.393197279,0.615574,0.472376,1.08286,0.358591,0.203396,0.227019,0.206677,0.314259,0.53426,1.5495,0.00326437,0.620373
1.439637188,0.520203,0.553428,1.35735,0.43952,0.204243,0.301953,0.0802051,0.372137,0.456844,1.30263,0.00245381,0.665718
1.486077098,0.393853,0.456993,1.40327,0.518984,0.298289,0.340793,0.0400888,0.258768,0.263882,1.19969,0.00165332,0.625632
1.532517007,0.345409,0.292706,1.51561,0.522665,0.366708,0.236878,0.0558498,0.243067,0.189712,1.2327,0.0276327,0.535674
1.578956916,0.485117,0.108885,1.63108,0.536423,0.41104,0.0953857,0.116244,0.219763,0.267569,1.14882,0.0526992,0.473704
1.625396825,0.592966,0.112911,1.63113,0.626669,0.394299,0.0350391,0.13518,0.230883,0.447858,0.924925,0.0676542,0.423096
1.671836735,0.636561,0.202984,1.57096,0.681931,0.319796,0.0374548,0.145662,0.210641,0.690401,0.683816,0.0869976,0.328784
1.718276644,0.647507,0.261845,1.54717,0.742865,0.241123,0.0555483,0.134047,0.210974,0.785882,0.517282,0.0977344,0.255366
1.764716553,0.545459,0.35372,1.49422,0.681746,0.176811,0.075483,0.198637,0.294638,0.790699,0.560999,0.090295,0.242321
1.811156463,0.575013,0.489967,1.24899,0.547745,0.179756,0.109137,0.171569,0.433418,0.712478,0.6986,0.110207,0.196939
1.857596372,0.567147,0.587339,1.30782,0.623735,0.225506,0.117291,0.0915883,0.496255,0.49782,0.806112,0.101472,0.228745
1.904036281,0.530591,0.842987,1.37114,0.672199,0.363385,0.102016,0.0438533,0.475826,0.303273,0.937562,0.0493228,0.264268
1.950476190,0.439164,0.987362,1.10219,0.804954,0.487526,0.147477,0.0351215,0.434588,0.143546,0.944895,0.0180513,0.285037
1.996916100,0.311797,0.995377,0.90688,0.767534,0.609151,0.183844,0.0543213,0.423934,0.252935,0.854153,0.00958454,0.288658
2.043356009,0.238164,0.853096,0.900215,0.674509,0.685646,0.206267,0.064462,0.472628,0.396288,0.634969,0.00226476,0.320659
2.089795918,0.309312,0.753562,1.15793,0.609799,0.630515,0.193522,0.0814504,0.491086,0.527349,0.566651,0.0609947,0.279201
2.136235828,0.432533,0.609251,1.40859,0.460175,0.624328,0.135239,0.0977353,0.499689,0.595912,0.599953,0.292873,0.252111
2.182675737,0.550241,0.532177,1.4544,0.412682,0.530082,0.163641,0.111727,0.568238,0.503754,0.646034,0.273894,0.338389
2.229115646,0.570377,0.608983,1.31124,0.430163,0.327375,0.264995,0.127872,0.622668,0.384851,0.67675,0.0765844,0.369512
2.275555556,0.491415,0.59074,1.4468,0.339926,0.245844,0.303843,0.151126,0.637286,0.285404,0.75665,0.0537577,0.401985
2.321995465,0.434357,0.45896,1.74722,0.198796,0.258273,0.249218,0.159796,0.673206,0.135641,0.872528,0.29823,0.413316
2.368435374,0.469711,0.389842,1.79809,0.109857,0.281016,0.212769,0.169682,0.813468,0.0286018,0.892719,0.505329,0.381713
2.414875283,0.542094,0.602513,1.52422,0.129839,0.321962,0.221838,0.20495,0.888426,0.0353827,0.842501,0.504405,0.35369
2.461315193,0.595391,0.713644,1.46352,0.142532,0.381185,0.240977,0.116184,0.849606,0.347614,0.844238,0.365832,0.379733
2.507755102,0.609129,0.760915,1.48736,0.144732,0.344856,0.226618,0.0751426,0.749559,0.547535,1.03013,0.1758,0.419754
2.554195011,0.618365,0.676553,1.59909,0.0699049,0.314754,0.248832,0.0590331,0.686849,0.847184,1.18723,0.082742,0.443706
2.600634921,0.608065,0.502379,1.83485,0.00299774,0.303848,0.341883,0.0537768,0.600077,1.03215,1.30162,0.010854,0.433216
2.647074830,0.583715,0.26129,1.91366,0.0501232,0.287884,0.391905,0.0335552,0.540491,1.01071,1.28318,0.00256142,0.405633
2.693514739,0.610627,0.0611642,1.88792,0.103248,0.334642,0.433327,0.0289332,0.505271,0.730041,1.24769,0.000863952,0.41593
2.739954649,0.631546,0.0293723,1.72081,0.152812,0.419274,0.572658,0.0713689,0.472936,0.444688,1.25264,0.0325749,0.45115
2.786394558,0.633258,0.0703665,1.48869,0.190276,0.60192,0.479798,0.12037,0.414596,0.313927,1.41722,0.0729046,0.442259
2.832834467,0.47563,0.291889,1.21172,0.182397,0.671176,0.309094,0.0979301,0.391344,0.17304,1.85224,0.117273,0.400167
2.879274376,0.387554,0.603971,0.97788,0.192382,0.642439,0.247191,0.0756745,0.35311,0.324335,2.02828,0.144906,0.324918
2.925714286,0.325477,0.706359,1.0411,0.261633,0.508166,0.251576,0.068856,0.329727,0.542435,1.88708,0.0668926,0.316664
