TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.092879819,-527.765,8.6994,-13.9898,-14.4086,1.94168,4.59043,-5.85856,-6.86695,0.386336,-0.325896,0.0615898,2.25028,1.90312,-1.86178,-4.11288,0.565444,-1.27957,-1.73564,-1.40547,0.378526,1.84135
0.116099773,-228.206,34.2487,5.05723,21.8555,-10.7492,2.48301,-6.82901,3.07942,-2.33557,-2.09645,-2.83989,-0.750214,-3.9182,-3.521,-5.86331,-5.35722,-7.42561,-5.33758,-3.67769,-2.92981,-2.38437
0.139319728,-268.11,37.8213,9.49453,40.5705,-7.45897,14.6628,-7.04943,7.70689,-3.82398,4.71582,-3.28356,3.26887,-2.36769,2.74536,-1.22483,-0.805371,-1.18096,1.64658,0.474039,-1.16508,0.220036
0.162539683,-299.114,29.0409,18.1435,40.4101,2.19632,13.419,0.354653,9.30591,0.732359,5.01631,-0.782195,4.7429,-0.896552,0.295462,-2.50089,2.13126,0.607038,1.71375,-3.34293,0.139176,-1.13268
0.185759637,-315.763,29.4409,21.4242,37.0726,5.78351,12.586,4.46807,5.36969,0.315396,3.97686,1.07374,4.78129,1.52026,3.20981,0.22357,1.40651,-0.999684,2.64998,-2.42125,1.01671,-3.30854
0.208979592,-335.213,30.3678,22.3281,32.1368,8.443,11.7407,6.33275,5.02532,3.4602,5.43387,2.36842,6.03997,0.0217541,3.46172,-1.16008,2.98911,-0.532026,3.00151,0.590141,1.1535,-2.10558
0.232199546,-342.171,30.8835,24.4757,31.7871,6.88055,10.0692,7.55153,6.81399,1.42172,4.33894,0.689742,4.11826,-0.79537,5.93496,-0.488631,0.577183,-0.995074,3.16192,-0.508586,2.16105,-1.10974
0.255419501,-352.134,34.4711,26.794,26.0103,6.56839,12.4349,5.47283,6.55437,0.0116316,6.81921,2.30961,1.73872,-0.011095,4.36004,0.0542693,4.23481,0.391999,2.56589,-0.455545,3.03237,-1.96477
0.278639456,-330.435,21.9566,13.8169,31.439,9.12687,17.1104,-1.45749,9.30366,-1.21471,7.78638,2.45946,3.71854,1.84538,2.86464,0.237052,2.7678,1.41745,4.2003,-0.47832,1.52408,-1.79556
0.301859410,-356.538,24.9043,12.9791,29.469,10.0015,20.3558,0.165654,11.0015,-2.60885,7.89027,2.74551,6.43438,1.0866,3.94917,-1.1481,6.29752,3.10838,5.62894,-1.82512,3.13066,-0.659277
0.325079365,-373.006,37.0428,18.6958,22.3512,6.98245,16.8166,1.87598,7.64361,-1.3088,7.10999,0.485136,5.49106,-0.874965,8.45547,0.430243,2.46295,-0.693953,4.41781,-2.64445,2.71329,-0.0192697
0.348299320,-167.755,-9.74702,-18.4499,20.3034,-15.7397,20.2685,-6.70765,17.2698,-9.83932,11.1862,-6.15846,12.7065,-4.84892,7.85661,-5.27225,9.40842,-3.57484,6.45942,-3.10488,5.17447,-3.43616
0.371519274,-215.961,-0.00568661,-27.4569,30.0737,-18.2997,27.7484,-13.3037,20.7966,-10.8969,16.0636,-5.60866,12.4369,-3.01075,9.34988,1.65975,5.48118,0.454131,0.913645,-0.0228082,1.32808,1.8908
0.394739229,-258.636,6.48997,-29.9605,30.7373,-18.8499,31.1158,-10.2494,21.2474,-8.11705,14.638,-0.911424,13.7898,2.98133,7.15323,1.51294,1.38126,3.01799,-3.2241,2.7164,-1.16861,0.293231
0.417959184,-288.771,10.3441,-28.2654,37.2799,-20.5713,28.2405,-9.86006,22.0484,-5.06241,14.6258,-3.27637,9.54457,2.15427,4.34509,5.90788,0.0770204,4.32784,-5.64933,6.09853,-2.88501,1.64159
0.441179138,-304.809,8.39723,-17.4983,32.1298,-11.9108,20.9703,-7.50518,15.9483,-7.56322,13.0472,-5.96916,11.1331,0.317682,8.09598,0.467819,5.6443,-0.454048,-0.468918,1.36171,3.2211,-2.42811
