TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.046439909,-578.848,59.071,-24.47,27.4474,-4.86451,-3.39162,0.976342,-16.9701,4.17531,-1.25541,0.682659,5.72579,-9.49457,2.54859,2.93831,-2.9576,2.61781,-4.97903,3.57537,-0.379076,-1.91236
0.069659864,-423.249,76.9518,-46.0555,26.7885,-16.6348,-10.9971,3.54443,-26.0547,7.77124,-5.53615,-6.22799,3.22375,-13.4435,3.14228,0.764628,2.63692,11.3994,-2.9049,4.55953,-1.03577,-2.76692
0.092879819,-428.677,75.7009,-46.4059,28.3066,-16.6305,-11.3068,4.30467,-24.963,5.72049,-5.39626,-5.51192,4.21794,-14.9323,1.18725,-2.22914,-1.44261,8.41774,-1.83595,5.56235,-1.21067,-4.40923
0.116099773,-419.668,75.5731,-40.0764,30.6298,-14.1492,-12.4088,2.12873,-24.7038,7.16266,-6.73473,-6.82873,3.95419,-12.8235,1.05738,-1.87457,-1.32923,10.2094,-0.05485,7.8519,-1.5901,-5.32042
0.139319728,-418.26,77.3862,-43.9549,31.4206,-11.9955,-10.5665,5.58539,-22.8574,6.19608,-7.98522,-8.4822,3.97897,-9.81765,6.70406,-0.555331,-2.14644,9.40683,-2.5428,4.72418,-0.181849,-3.30959
0.162539683,-406.534,76.7349,-41.1477,29.8417,-13.4446,-8.67097,6.01186,-26.7394,5.38224,-7.93536,-8.33995,2.40711,-10.9669,4.13408,-1.25913,-2.04904,8.95498,-4.05583,5.41708,0.483038,-0.627951
0.185759637,-404.178,75.1566,-44.0597,32.895,-12.3776,-14.56,4.97699,-25.7944,3.47287,-6.92781,-7.31827,2.75367,-11.9763,6.14012,0.00176997,-4.01489,6.9807,-4.80706,4.76697,1.7821,-2.46997
0.208979592,-410.843,73.8265,-43.8117,34.5362,-13.8683,-12.6268,5.98684,-23.4404,5.8487,-12.1188,-11.4971,3.77296,-9.3083,6.33181,-1.98518,-3.9487,8.0612,-3.82053,5.32081,-0.86502,-3.33277
0.232199546,-410.364,73.0732,-42.3976,32.1745,-11.686,-10.632,5.97813,-25.5986,1.90886,-12.1579,-8.74819,3.73422,-12.0322,3.3502,-2.15894,-3.4318,7.93911,-2.91599,7.02232,1.33551,-3.04255
0.255419501,-412.927,73.5339,-39.2453,28.6265,-12.7891,-10.7236,6.66623,-24.5861,1.05272,-12.6271,-13.8676,-1.91345,-10.1779,5.23762,-1.37879,-5.18491,7.13784,-1.99206,4.37539,-1.50555,-2.68448
0.278639456,-388.752,67.5596,-52.1374,41.0818,-15.3349,-12.8428,8.22227,-23.1063,4.24935,-14.0525,-8.80477,4.15801,-9.66503,6.5838,-2.51297,2.5207,8.77809,-7.83045,4.99925,-0.975245,-1.63556
0.301859410,-393.479,70.5457,-62.1114,41.317,-7.41104,-17.9724,6.57642,-26.0948,3.31876,-6.19951,-10.1276,6.63341,-9.87596,5.71152,2.40507,-3.9545,7.66807,-6.15826,-0.0833152,-0.0594088,-5.39117
0.325079365,-402.819,77.0783,-45.7266,33.3272,-7.26219,-15.486,8.58059,-23.4674,0.599945,-7.7832,-10.9386,4.95864,-10.2217,5.03913,5.38873,-1.27728,7.6234,-4.61561,1.55287,1.59274,-3.46707
0.348299320,-405.038,73.8289,-39.2358,29.7803,-10.0472,-11.7621,2.86739,-24.9623,1.9682,-11.6984,-9.46095,2.27228,-11.8472,5.1075,-1.27779,-0.706131,9.2606,-4.54355,5.2695,-0.888552,-3.52032
0.371519274,-400.183,71.6061,-40.074,27.9878,-10.96,-10.7739,4.57734,-26.7074,0.0300583,-11.0416,-10.5265,0.821918,-13.2095,3.19984,-0.953293,-0.789213,9.62939,-1.29267,5.11553,0.126483,-1.63606
0.394739229,-409.113,73.4047,-41.1479,27.9089,-11.6175,-11.1478,5.59548,-27.9679,-0.929229,-10.3354,-10.5561,3.38692,-12.7672,4.41422,1.97028,-4.0105,6.80592,-2.44875,4.57291,0.75591,-4.51209
0.417959184,-412.676,74.443,-42.6841,30.0829,-12.9863,-10.4985,6.03315,-27.4374,2.34395,-9.77442,-12.0594,4.98256,-8.97131,5.43201,3.25128,0.859349,7.59578,-6.01501,2.1702,-0.870395,-4.32964
0.441179138,-414.016,76.2716,-46.1187,28.8296,-6.74693,-14.6291,5.19786,-26.2539,-1.3199,-8.60418,-13.1464,5.79736,-7.74696,5.16947,3.90968,-3.91156,5.90389,-4.13927,-0.813821,-1.03356,-4.72943
0.464399093,-405.207,77.6568,-41.7921,27.2629,-7.26102,-13.645,2.52535,-26.6993,-0.833312,-8.50264,-10.0121,4.07899,-7.83204,3.61945,1.09279,-1.84177,5.4712,-3.03888,3.05551,-2.72724,-3.6497
