Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5bqqzaA1XRx1rGDR6YrLYG,"Crystal Tears","Work Out","Janne Schra",2026-03-13,220520,33,false,nrc.nl,2026-03-13T14:07:35Z,"","AT EASE",0.755,0.555,11,-8.615,0,0.0289,0.719,0.00143,0.108,0.801,121.991,4
spotify:track:2o4fKJrUHzHKL9creZxVqY,"Somebody","Work Out","Janne Schra",2026-03-13,197226,31,false,nrc.nl,2026-03-13T14:07:21Z,"","AT EASE",0.546,0.59,7,-9.703,1,0.0305,0.765,0.000189,0.129,0.508,121.847,4
spotify:track:2nczvXIVGFoGWf7AmR4KoE,"Didn’t Come To Argue","Trying Times","James Blake;Monica Martin",2026-03-13,282133,45,false,nrc.nl,2026-03-13T14:08:54Z,"","Good Boy Records",0.446,0.498,2,-9.401,1,0.0362,0.699,0.00207,0.0857,0.137,112.839,3
spotify:track:2YydchVFKR3Gn3Arv0jfEq,"Death of Love","Trying Times","James Blake",2026-03-13,206028,46,false,nrc.nl,2026-03-13T14:09:05Z,"","Good Boy Records",0.633,0.54,4,-9.87,0,0.0612,0.548,0.287,0.376,0.227,108.908,4
spotify:track:50efvd6AEsorYOs9ogsiI4,"DIRTY TECH","PLAY ME","Kim Gordon",2026-03-13,140435,42,false,nrc.nl,2026-03-13T15:16:36Z,"noise rock","Matador",0.8,0.788,2,-4.201,1,0.0519,0.0197,0.26,0.417,0.86,130.032,4
spotify:track:37HVCXVernYKmkS6YiIHFZ,"NOT TODAY","PLAY ME","Kim Gordon",2026-03-13,215286,43,false,nrc.nl,2026-03-13T15:16:36Z,"noise rock","Matador",0.632,0.895,0,-5.579,1,0.0464,0.00214,0.549,0.585,0.757,148.006,4
spotify:track:25Zy6potpYQCpYghcB7gnB,"Arakatak","Arakatak","Metropole Orkest;Miho Hazama;Morris Kliphuis",2026-03-06,496559,28,false,nrc.nl,2026-03-13T15:16:51Z,"jazz fusion,bigband,ambient jazz,neoklassiek,hedendaags klassiek","V2 Records Benelux Distribution",0.555,0.514,4,-11.82,0,0.0325,0.388,0.786,0.137,0.336,93.964,4
spotify:track:5yHvgSfUFgFQxyCOjBl1TA,"Doesn’t Matter","Arakatak","Metropole Orkest;Miho Hazama;Louis Cole",2026-03-06,331646,33,false,nrc.nl,2026-03-13T15:16:51Z,"jazz fusion,bigband,indie jazz","V2 Records Benelux Distribution",0.133,0.174,4,-15.125,1,0.038,0.594,0.832,0.117,0.0386,93.574,3
spotify:track:08NaMmgnAuu007Ub6snnT2,"Imidiwan Takyadam - feat. José González","Hoggar","Tinariwen;José González",2026-03-13,256481,39,false,nrc.nl,2026-03-13T15:17:03Z,"gnawa,indiefolk","Wedge",0.595,0.551,1,-9.619,1,0.0617,0.443,0.0000122,0.0495,0.678,143.849,4
spotify:track:5Fi71SHvzwwW2eQ26JkrGC,"Sagherat Assani - feat. Sulafa Elyas","Hoggar","Tinariwen;Sulaf",2026-03-13,218960,36,false,nrc.nl,2026-03-13T15:17:03Z,"gnawa","Wedge",0.576,0.571,1,-7.232,1,0.0325,0.593,0.000194,0.0935,0.511,165.698,4
spotify:track:0i4qKfuKJ3juUsEwnJAxk3,"Ready, Steady, Go!","Kiss All The Time. Disco, Occasionally.","Harry Styles",2026-03-06,160400,89,false,nrc.nl,2026-03-06T13:25:42Z,"","Columbia",0.753,0.755,9,-6.444,0,0.0509,0.0527,0.0901,0.232,0.852,117.981,4
spotify:track:1sA1DhT0bLyeICf8NalPS7,"Aperture","Kiss All The Time. Disco, Occasionally.","Harry Styles",2026-03-06,311733,87,false,nrc.nl,2026-03-06T13:26:31Z,"","Columbia",0.667,0.715,2,-10.07,1,0.0518,0.0974,0.06,0.108,0.186,127.996,4
spotify:track:0RVh6eHyE6wxV0MSl3KYep,"Warning","HELP(2)","Cameron Winter;War Child Records",2026-03-06,272196,63,true,nrc.nl,2026-03-06T13:28:01Z,"","War Child Records",0.658,0.228,0,-9.729,0,0.11,0.931,0.000579,0.117,0.419,97.987,4
spotify:track:2TjYrJGdFFLkldNrLZxlNi,"Naboo","HELP(2)","Sampha;War Child Records",2026-03-06,194284,53,false,nrc.nl,2026-03-06T13:29:10Z,"indiesoul","War Child Records",0.703,0.263,3,-17.159,0,0.2,0.891,0.459,0.104,0.682,180.028,4
spotify:track:5bQgY1aNZCWuDgUD1lq38Y,"Piano Trio No. 3 in F Minor, Op. 65, B. 130: I. Allegro ma non troppo","Bohemian Legacy","Antonín Dvořák;Trio 258",2026-02-06,797066,8,false,nrc.nl,2026-03-06T13:30:48Z,"klassiek,kamermuziek,orkestraal","Challenge Classics",0.283,0.126,1,-19.771,1,0.0405,0.952,0.701,0.085,0.0855,124.302,4
spotify:track:6ApJPH38pM4dBKJFuW0NrX,"Where's My Phone?","Nothing's About to Happen to Me","Mitski",2026-02-27,189853,71,false,nrc.nl,2026-02-27T13:05:04Z,"","Dead Oceans",0.407,0.663,3,-6.968,1,0.0325,0.0183,0.00000316,0.0677,0.32,132.957,4
spotify:track:0MRooJn2J6iXQnzFdFSpRR,"I'll Change for You","Nothing's About to Happen to Me","Mitski",2026-02-27,196426,72,false,nrc.nl,2026-02-27T13:06:08Z,"","Dead Oceans",0.465,0.332,4,-14.07,1,0.0293,0.714,0.0533,0.128,0.519,86.921,4
spotify:track:6VflG4mpZSlpKnqNRL3NO9,"The Moon Cave (feat. Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda and Black Thought)","The Mountain","Gorillaz;Asha Puthli;Bobby Womack;Dave Jolicoeur;Jalen Ngonda;Black Thought",2026-02-27,297787,78,false,nrc.nl,2026-02-27T13:04:54Z,"soul,classic soul,retrosoul,east coast hiphop","Kong",0.685,0.756,10,-5.469,0,0.0638,0.0944,0.00155,0.129,0.547,102.984,4
spotify:track:4HnBNOfnPYCgRzB1dcAi3x,"Orange County (feat. Bizarrap, Kara Jackson and Anoushka Shankar)","The Mountain","Gorillaz;Bizarrap;Kara Jackson;Anoushka Shankar",2026-02-27,208461,76,false,nrc.nl,2026-02-27T13:04:46Z,"argentijnse trap,trap latino,urbano latino","Kong",0.74,0.681,8,-7.569,1,0.0433,0.165,0.202,0.282,0.315,129.988,4
spotify:track:3m6gkwkfvBgCYolE6mKsik,"Golden Sun","Soul Woman","Michelle David & The True-tones",2026-02-27,209213,29,false,nrc.nl,2026-03-06T13:32:53Z,"retrosoul","Record Kicks",0.675,0.665,9,-6.964,0,0.035,0.0439,0.000127,0.0806,0.54,132.852,4
spotify:track:6ya2MQh64xVTT327W3TH5q,"Pick Up The Pieces","Soul Woman","Michelle David & The True-tones",2026-02-27,228973,26,false,nrc.nl,2026-03-06T13:33:02Z,"retrosoul","Record Kicks",0.556,0.642,4,-5.674,0,0.0268,0.151,0.000194,0.349,0.663,95.405,3
spotify:track:4CIFnXQizfasBXAonLkMKA,"Neredesin Sen","Garip","Altin Gün",2026-02-20,269738,43,false,nrc.nl,2026-02-27T12:58:56Z,"anatolische rock,psychedelische rock,neo-psychedelisch","Glitterbeat Records",0.608,0.793,10,-6.734,1,0.0278,0.00559,0.443,0.0717,0.842,146.052,4
spotify:track:44jEa6nLAFJfRDOV1PB7GA,"Öldürme Beni","Garip","Altin Gün",2026-02-20,297994,41,false,nrc.nl,2026-02-27T12:59:28Z,"anatolische rock,psychedelische rock,neo-psychedelisch","Glitterbeat Records",0.603,0.841,5,-6.942,0,0.0322,0.0548,0.574,0.0802,0.964,80.951,4
spotify:track:6ZaC9r717eD1rNzbCxs6an,"Piano Sonata No. 2 ""Concord Mass., 1840-1860"": III. The Alcotts","Each and All","Charles Ives;Shane van Neerden",2026-02-13,329400,13,false,nrc.nl,2026-02-27T13:04:04Z,"hedendaags klassiek,musique concrète","7 Mountain Records",0.386,0.0398,0,-21.921,0,0.0407,0.98,0.912,0.0936,0.0523,66.157,4
spotify:track:0R3AL9ANLWC0dJrWbqIdsT,"Gaspard de la Nuit, M.55: II. Le Gibet","Each and All","Maurice Ravel;Shane van Neerden",2026-02-13,395946,18,false,nrc.nl,2026-02-27T13:04:11Z,"impressionisme,klassiek,klassieke piano,neoklassiek","7 Mountain Records",0.352,0.00397,3,-38.931,1,0.0656,0.995,0.954,0.0846,0.0374,70.723,3
spotify:track:77qLAmRzMPetmXywybpH15,"Chains of Love","Wuthering Heights","Charli xcx",2026-02-13,170211,83,false,nrc.nl,2026-02-27T12:56:34Z,"hyperpop,art pop","Atlantic Records",0.292,0.587,5,-4.683,1,0.0327,0.114,0.0169,0.42,0.17,68.618,4
spotify:track:1md8v8FG46KecYiMap2XTD,"Eyes of the World featuring Sky Ferreira","Wuthering Heights","Charli xcx;Sky Ferreira",2026-02-13,223994,72,false,nrc.nl,2026-02-27T12:57:25Z,"hyperpop,art pop","Atlantic Records",0.315,0.424,7,-6.144,0,0.0324,0.185,0.000157,0.226,0.101,140.868,4
spotify:track:6s0JHdfEYqEgnQUwHzPLc9,"Purcell: Dido and Aeneas, Z. 626: Overture","Purcell: Dido and Aeneas, Z. 626","Henry Purcell;Maxim Emelyanychev;Il Pomo D'oro",2025-08-22,105773,18,false,nrc.nl,2026-02-27T12:56:10Z,"barok,early music,klassiek,koormuziek,opera,concerto","Warner Classics",0.348,0.678,11,-19.825,0,0.0774,0.798,0.807,0.318,0.386,100.562,4
