TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-1.84741e-13,2.13163e-13,-5.68434e-14,1.42109e-13,-7.38964e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.12639e-13,-6.25278e-13,1.56319e-13,-2.70006e-13,-6.96332e-13,2.27374e-13,-2.28795e-12
0.023219955,-984.601,-3.67981,3.81985,-5.00436,-5.25485,0.696474,2.56841,5.47513,-0.852529,2.63617,2.50022,-1.08348,-1.54003,-1.89372,1.26291,3.27142,0.536932,-0.0753736,0.880447,-3.04234,0.101175
0.046439909,-376.411,-0.420435,-23.6412,-4.33045,-14.6926,2.30975,-12.102,0.862659,-6.69577,-3.50642,2.03702,-2.51314,-5.40197,4.17297,-3.93926,3.97699,-0.660169,5.06627,-0.242647,1.41127,-0.357646
0.069659864,-252.919,19.8523,-33.7129,11.7453,-27.8398,12.2706,-21.0765,1.58799,-11.7539,-7.68309,-2.71052,-9.11815,-5.53162,-7.21679,-2.0108,-1.65533,0.938598,6.66298,-3.65338,9.98237,-4.84625
0.092879819,-263.174,24.0886,-27.7608,1.73813,-24.6122,11.0555,-22.0279,6.16191,-6.80018,-7.44813,-8.05374,-12.4365,-8.24999,-7.40863,-1.63032,3.13247,-1.95983,7.44022,-4.71442,5.58027,-4.49461
0.116099773,-273.463,23.2984,-29.9485,-0.213548,-22.6573,12.8973,-23.038,5.0637,-8.59978,-8.96959,-7.76359,-12.5865,-9.79089,-4.25806,-0.26323,2.92699,-3.09502,7.62739,-6.9716,6.32191,-3.40059
0.139319728,-278.564,26.7829,-28.3031,1.59859,-20.5306,13.4054,-24.0324,3.97807,-10.7879,-9.89069,-3.27553,-12.2477,-5.37869,-3.26842,-1.75146,3.81175,-4.67858,6.16624,-3.44451,10.4242,-1.63518
0.162539683,-288.06,30.8947,-38.9437,8.6767,-25.7922,14.9502,-28.5484,5.64811,-10.9244,-10.3273,-4.60102,-12.381,-1.98208,-9.59763,1.07471,-3.4441,4.57448,5.95037,1.96513,9.40586,0.300635
0.185759637,-305.937,32.557,-45.8734,12.1407,-36.1756,19.6281,-32.2328,5.96267,-12.3582,-12.6035,-3.38061,-12.2548,1.26815,-12.9,5.90663,-7.91234,9.50767,3.75049,5.59678,5.54914,4.13053
0.208979592,-317.492,28.7587,-47.2962,18.5054,-34.7623,23.4397,-30.3625,5.54053,-11.9097,-10.9795,-5.9511,-16.1161,0.549344,-10.4688,9.40198,-6.3911,12.2467,2.41718,1.67769,2.8024,6.73091
0.232199546,-315.297,21.2484,-29.2055,16.3373,-31.7175,15.2331,-22.4461,-0.315228,-11.9641,-7.27681,-6.41468,-8.52548,-5.40071,-4.87151,2.28358,2.18446,2.80728,8.6946,-2.39372,4.07989,2.74938
0.255419501,-284.216,-11.4789,-20.0962,22.0437,-29.1859,13.0133,-19.6247,1.19399,-13.5502,-7.66131,-9.85203,-5.77351,-12.1659,-4.08224,-6.55296,4.88063,-4.00417,10.1141,-6.99569,7.38375,-5.78091
0.278639456,-291.432,-25.1512,-16.2289,15.2236,-27.3223,12.1264,-16.9469,4.19213,-11.7267,-5.67583,-13.8954,-3.81038,-15.5686,1.85417,-5.33684,7.39006,-7.35831,9.31385,-4.95195,8.37433,-3.31186
0.301859410,-281.905,-16.8918,-14.7882,14.4962,-28.7686,8.06882,-17.086,4.7719,-14.6605,-0.278943,-10.4068,0.355175,-13.6628,-0.287753,-10.4556,3.34805,-6.76811,5.92957,-8.22286,3.75418,-6.6206
0.325079365,-258.289,32.3924,-15.6657,0.70684,-26.2901,1.95393,-18.0376,4.47377,-13.2425,-5.70186,-8.84211,1.75893,-8.77295,1.69912,-7.78988,-1.91613,-5.96464,7.78876,-5.94846,0.0259049,-1.95515
0.348299320,-265.354,37.7281,-21.2167,5.46859,-24.6638,5.89242,-18.9908,12.1137,-10.6911,-15.2013,-2.27155,-4.07749,-6.40761,-5.52331,-1.56004,-3.90295,-9.67921,8.04197,-7.54412,3.951,-3.81176
0.371519274,-272.356,37.6996,-17.5879,0.170653,-21.3741,3.76497,-16.2433,10.4321,-10.4466,-14.8521,-4.33968,-3.03974,-11.1079,-4.18142,-3.34143,-1.31602,-12.7934,9.12656,-7.0915,5.50146,-3.5089
0.394739229,-275.017,32.5113,-16.3671,-5.86555,-20.5561,5.9902,-21.2125,12.5985,-9.69112,-10.7589,-6.8979,-0.676635,-8.42056,-0.123215,-7.1198,0.350471,-14.2272,10.5959,-8.4555,4.17226,-3.66154
0.417959184,-276.425,33.9196,-13.7726,-12.7303,-19.2096,7.22088,-25.8825,12.1146,-11.0977,-15.5126,-7.24352,-0.440667,-13.8587,0.292121,-5.95379,-6.23504,-11.8263,10.4057,-11.4885,4.13925,-0.718924
0.441179138,-283.362,41.1958,-16.0615,-3.81365,-19.8954,9.65576,-23.4721,14.3038,-8.03087,-21.0249,0.0238203,0.616914,-14.3076,-1.79078,-1.72407,-5.47617,-11.2135,14.9237,-12.9313,4.19704,0.296508
0.464399093,-297.159,39.5974,-15.3819,5.53045,-13.7607,16.3023,-20.7712,4.40924,-8.34538,-16.3619,-3.43484,-1.95433,-11.9658,-4.57753,-7.96653,-3.80472,-8.86171,14.4623,-10.6552,8.45579,0.0146689
0.487619048,-305.544,41.7484,-15.8492,4.62353,-18.708,19.8674,-24.6831,3.78818,-6.85512,-13.6852,0.133344,-5.15143,-13.4017,-9.31522,-4.14732,-8.04995,-10.0423,15.4838,-11.0007,5.26325,1.35536
0.510839002,-306.921,39.862,-12.3314,10.0109,-16.2418,14.9713,-25.4175,0.556671,-6.38876,-14.5969,-2.0244,-3.72178,-13.2032,-4.16631,-6.74289,-7.7563,-8.01412,12.6958,-10.6337,7.51113,0.795743
0.534058957,-264.965,33.9157,-26.8487,9.19196,-18.1358,7.20778,-20.9196,6.41249,-9.71109,-12.5532,-5.18078,0.133715,-9.69688,-5.3767,-6.69548,-4.77977,-6.88015,6.60357,-9.24468,3.60203,-1.85275
0.557278912,-264.091,38.5568,-29.2408,-2.6404,-20.2197,9.95982,-22.0426,12.2812,-12.5747,-12.674,-0.936197,-4.90336,-6.85258,-7.74566,-5.98184,-5.68247,-5.34855,3.2804,-7.1367,3.16859,-4.02747
