TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0.228236,0.803566,0.951695,0.577043,0.0888631,1.99513,0.138633,0.0885878,0.362752,0.0864122,1.11274,0.085315
0.139319728,0.559041,0.809326,0.55857,0.654715,0.0255536,2.61751,0.245767,0.0561349,0.280843,0.221996,0.804458,0.00935137
0.185759637,0.623056,0.84315,0.440844,1.068,0.0256837,2.26251,0.229946,0.172354,0.248734,0.123691,1.00177,0.124431
0.232199546,0.526184,1.09019,0.421981,1.01987,0.166456,1.96254,0.278386,0.317287,0.27917,0.0266844,1.42032,0.00297443
0.278639456,0.498101,1.32467,0.657011,0.625829,0.20061,1.8056,0.247313,0.412049,0.223722,0,1.38927,0.00184108
0.325079365,0.387991,1.47982,0.516931,0.604317,0.053012,1.73472,0.18207,0.408245,0.154292,0.113747,1.09004,0
0.371519274,0.300934,1.57963,0.414289,0.485457,0.0143573,1.73204,0.222198,0.22693,0.115825,0.239894,0.819649,0.0976977
0.417959184,0.21237,1.59057,0.513575,0.26661,0.171893,1.93596,0.186425,0.065487,0.0635874,0.232643,0.934637,0.338266
0.464399093,0.337997,1.66325,0.447626,0.207549,0.571621,1.97795,0.0703265,0.128454,0,0.12593,1.37335,0.073198
0.510839002,0.309466,1.77657,0.45124,0.0550711,0.646458,1.86518,0.0412941,0.131,0,0.0136093,2.00878,0.0476259
0.557278912,0.0219175,1.74432,0.395174,0.179237,0.462851,1.66441,0.0388528,0.101061,0.103221,0.0446645,2.2471,0.0464913
0.603718821,0.0155452,1.78841,0.00177159,0.687758,0.219759,1.52041,0.138936,0.0713087,0.147573,0.0999109,2.14055,0
0.650158730,0.0512718,1.78742,0.00235828,0.114186,0.0334446,1.49586,0.410169,0.0686642,0.141975,0.09817,2.14212,0.00407391
0.696598639,0.0677446,1.55567,0.159592,0.0202494,0,1.301,0.576457,0.0650637,0.112847,0.106219,2.07269,0.112972
0.743038549,0.0268118,1.46282,0.822706,0.0354398,0.0262366,0.993602,0.545401,0.0669226,0.202416,0.0988899,2.02772,0.0811539
0.789478458,0,1.78508,0.791346,0.0943532,0.0161478,1.63354,0.460009,0.506095,0.104008,0.0584926,1.74015,0.0182107
0.835918367,0,2.06238,0.538958,0.13897,0.0177155,2.04931,0.332714,0.727363,0.0275542,0.1399,1.58987,0
0.882358277,0,2.58942,0.3297,0.111508,0.0391995,2.33033,0.0158075,0.836463,0,0.00506888,1.49904,0.0208988
0.928798186,0,2.76074,0.0586798,0.134844,0.0451197,2.38204,0.207319,0.807333,0,0,1.61021,0.0381375
0.975238095,0,2.26317,0.00364445,0.161633,0.114021,2.2155,0.409189,0.600962,0,0,1.68327,0.0571821
1.021678005,0,1.95912,0.00469622,0.181713,0.206024,2.08066,0.266432,0.12607,0,0.198037,2.1758,0.0878802
1.068117914,0,1.95027,0.136331,0.191333,0.290489,2.34837,0.169418,0.084826,0,0.238701,2.58747,0
1.114557823,0,1.8143,0.422602,0.393023,0.4347,2.38861,0.0634336,0.105966,0,0.1527,2.61238,0
1.160997732,7.58061e-05,1.89713,0.572116,0.435569,0.313574,2.24779,0.168541,0.123164,0,0.0327682,2.67271,0
1.207437642,0,2.33636,0.156294,0.381737,0.768269,1.89089,0.200262,0.302393,0,0.254808,2.68684,0
1.253877551,0.000242469,2.64973,0.000919952,0.168402,0.78191,1.65411,0.0444638,0.188274,0.0234787,0.346568,2.43185,0
1.300317460,0.000613351,2.76991,0.15856,0.159927,0.272237,1.46656,0.013456,0.319752,0.206701,0.231188,2.08338,0
1.346757370,0.000642594,2.30592,0.468712,0.325435,0.13711,1.64934,0.0130921,0.265576,0.305418,0.130981,1.74345,0
1.393197279,0.000766376,2.25718,0.444352,0.730529,0.196441,1.81985,0.120557,0.522053,0,0.0407723,1.21586,0.0880472
1.439637188,0.000793284,2.28154,0.452846,0.784052,0.235458,1.76234,0.147894,0.3449,0,0.0423539,1.39265,0.176419
1.486077098,0.000582787,2.42724,0.448258,0.654964,0.218389,1.60931,0.0223866,0.351697,0,0.116851,1.79957,0.289865
1.532517007,0.0364288,2.37158,0.529783,0.486227,0.298337,1.49816,0.00217347,0.29009,0,0.0828538,2.1153,0.283043
1.578956916,0.013762,2.27411,0.373835,0.409405,0.239956,1.49872,0.0702955,0.0706369,0,0.00528927,2.42895,0.225002
1.625396825,1.15649e-05,2.3066,0.308567,0.345401,0.0985235,1.56472,0.322556,0,0.137343,0,2.4987,0.187911
1.671836735,0.0623052,2.23441,0.742559,0.183954,0.0741386,1.72671,0.548727,0,0.133596,0.000241782,2.17404,0.121129
1.718276644,0.262125,2.04867,0.793849,0.171077,0.033874,2.04206,0.664263,0.0307816,0.285513,0.0342066,1.8214,0.0289066
