TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-643.506,-15.1069,-3.01968,1.98976,1.79856,-4.34418,7.0605,-1.54005,3.50324,-1.05922,-1.55844,4.02595,0.973247,2.87605,-5.45958,2.2585,0.275051,1.03095,2.61675,-2.42719,2.61959
0.021333333,-515.695,-14.5677,-1.22886,2.09938,7.84383,-0.609058,11.5952,-2.32311,2.16289,0.732508,-1.76106,1.90423,-2.97734,4.00533,0.115029,2.38491,0.295469,-0.234705,0.586502,0.243737,0.0663917
0.042666667,-503.921,-8.62579,0.380227,-0.514192,8.16541,-7.84733,9.71623,-6.27549,7.09085,-1.72494,-0.199609,5.70767,-3.84294,5.31143,-4.17106,0.998467,-3.70991,-1.75306,0.304834,-3.56278,3.26252
0.064000000,-378.032,46.4925,-50.2696,17.2512,-15.5345,-7.48408,1.42142,-19.0066,10.7191,-16.3065,9.64672,-11.3936,8.83813,-9.60845,-0.0610829,-4.20669,-3.11001,0.895195,-3.50606,-3.04282,0.248777
0.085333333,-356.717,45.2252,-47.3767,18.2933,-14.055,-9.15981,3.13117,-18.3406,11.4713,-17.2446,12.4596,-16.7,5.55105,-7.3471,3.36612,-3.87558,-3.11037,-1.85829,-4.03693,-1.81599,0.427825
0.106666667,-361.756,41.9947,-46.8823,18.8924,-11.2482,-7.08706,4.25447,-14.1937,10.1039,-15.2746,11.0058,-15.632,8.03012,-8.24065,5.24862,-5.55809,-3.18588,-2.41572,-4.56813,-0.303365,-0.0907683
0.128000000,-365.19,39.4465,-53.8269,15.301,-11.0313,-13.265,1.65741,-18.7378,8.69128,-15.6822,14.1198,-13.3007,9.26799,-7.86082,3.64337,-3.35924,-0.768152,-1.47062,-5.12665,-3.29248,-0.449975
0.149333333,-350.286,39.0133,-48.5565,15.5992,-9.59768,-5.46477,1.55511,-11.1539,2.98042,-13.2095,5.54492,-12.935,9.8051,-8.37326,9.93429,-5.81903,3.81048,-3.50243,-1.98436,-3.32873,0.239801
0.170666667,-360.942,35.1839,-46.2029,15.7824,-12.5125,-7.63042,-2.35976,-13.4405,1.7288,-15.1622,7.27436,-10.5542,8.66127,-6.22422,11.9013,-3.3153,4.04511,-3.47908,2.77387,-1.28882,0.0412851
0.192000000,-359.463,48.5798,-52.8966,20.6195,-14.6154,-1.86529,-1.65184,-12.2801,3.73216,-12.3584,6.70775,-11.1152,6.52991,-7.75195,1.67814,-5.2584,-3.08699,-0.720669,-5.62256,-1.06366,-2.88163
